image_id,source_dataset,rel_path,race_cat,gender_cat,age_cat,split
UT_UTK_59_0_0_20170111201348742.jpg.chip,UTKFace,UTKFace/59_0_0_20170111201348742.jpg.chip.jpg,White,Male,,test
UT_UTK_29_0_0_20170117202657886.jpg.chip,UTKFace,UTKFace/29_0_0_20170117202657886.jpg.chip.jpg,White,Male,,test
FA_FF_84552,FairFace,FairFace/train/84552.jpg,White,Male,40-49,test
FA_FF_36375,FairFace,FairFace/train/36375.jpg,White,Male,50-59,test
UT_UTK_40_1_0_20170117150823490.jpg.chip,UTKFace,UTKFace/40_1_0_20170117150823490.jpg.chip.jpg,White,Female,,test
FA_FF_80907,FairFace,FairFace/train/80907.jpg,White,Female,0-2,test
FA_FF_32300,FairFace,FairFace/train/32300.jpg,White,Male,20-29,test
FA_FF_37646,FairFace,FairFace/train/37646.jpg,White,Male,20-29,test
FA_FF_70501,FairFace,FairFace/train/70501.jpg,MiddleEastern,Male,20-29,test
FA_FF_31042,FairFace,FairFace/train/31042.jpg,MiddleEastern,Female,30-39,test
FA_FF_8677,FairFace,FairFace/train/8677.jpg,MiddleEastern,Male,3-9,test
FA_FF_14423,FairFace,FairFace/train/14423.jpg,MiddleEastern,Female,3-9,test
FA_FF_54993,FairFace,FairFace/train/54993.jpg,MiddleEastern,Female,40-49,test
FA_FF_3122,FairFace,FairFace/train/3122.jpg,MiddleEastern,Female,20-29,test
FA_FF_30539,FairFace,FairFace/train/30539.jpg,MiddleEastern,Male,20-29,test
FA_FF_57069,FairFace,FairFace/train/57069.jpg,MiddleEastern,Female,20-29,test
FA_FF_85412,FairFace,FairFace/train/85412.jpg,MiddleEastern,Male,30-39,test
FA_FF_48972,FairFace,FairFace/train/48972.jpg,MiddleEastern,Male,10-19,test
FA_FF_10284,FairFace,FairFace/train/10284.jpg,MiddleEastern,Male,40-49,test
FA_FF_47073,FairFace,FairFace/train/47073.jpg,MiddleEastern,Female,50-59,test
FA_FF_19920,FairFace,FairFace/train/19920.jpg,MiddleEastern,Female,30-39,test
FA_FF_16470,FairFace,FairFace/train/16470.jpg,MiddleEastern,Female,20-29,test
FA_FF_34323,FairFace,FairFace/train/34323.jpg,MiddleEastern,Male,30-39,test
FA_FF_7244,FairFace,FairFace/train/7244.jpg,MiddleEastern,Female,10-19,test
FA_FF_69003,FairFace,FairFace/train/69003.jpg,EastAsian,Male,20-29,test
UT_UTK_60_0_2_20170116182650366.jpg.chip,UTKFace,UTKFace/60_0_2_20170116182650366.jpg.chip.jpg,EastAsian,Male,,test
UT_UTK_2_0_2_20161219200225291.jpg.chip,UTKFace,UTKFace/2_0_2_20161219200225291.jpg.chip.jpg,EastAsian,Male,,test
FA_FF_8215,FairFace,FairFace/train/8215.jpg,EastAsian,Male,30-39,test
UT_UTK_26_1_2_20170116162412165.jpg.chip,UTKFace,UTKFace/26_1_2_20170116162412165.jpg.chip.jpg,EastAsian,Female,,test
UT_UTK_32_1_2_20170116180211518.jpg.chip,UTKFace,UTKFace/32_1_2_20170116180211518.jpg.chip.jpg,EastAsian,Female,,test
FA_FF_23833,FairFace,FairFace/train/23833.jpg,EastAsian,Male,20-29,test
FA_FF_76402,FairFace,FairFace/train/76402.jpg,EastAsian,Female,10-19,test
UT_UTK_15_1_2_20170116175234078.jpg.chip,UTKFace,UTKFace/15_1_2_20170116175234078.jpg.chip.jpg,EastAsian,Female,,test
UT_UTK_89_1_2_20170110182930160.jpg.chip,UTKFace,UTKFace/89_1_2_20170110182930160.jpg.chip.jpg,EastAsian,Female,,test
UT_UTK_26_1_2_20170116184244368.jpg.chip,UTKFace,UTKFace/26_1_2_20170116184244368.jpg.chip.jpg,EastAsian,Female,,test
FA_FF_10870,FairFace,FairFace/train/10870.jpg,EastAsian,Male,20-29,test
FA_FF_26006,FairFace,FairFace/train/26006.jpg,EastAsian,Male,50-59,test
FA_FF_43272,FairFace,FairFace/train/43272.jpg,EastAsian,Female,20-29,test
FA_FF_6865,FairFace,FairFace/train/6865.jpg,EastAsian,Female,40-49,test
FA_FF_52535,FairFace,FairFace/train/52535.jpg,EastAsian,Female,30-39,test
FA_FF_78732,FairFace,FairFace/train/78732.jpg,EastAsian,Male,30-39,test
UT_UTK_26_0_2_20170116182451477.jpg.chip,UTKFace,UTKFace/26_0_2_20170116182451477.jpg.chip.jpg,EastAsian,Male,,test
FA_FF_52668,FairFace,FairFace/train/52668.jpg,EastAsian,Female,20-29,test
UT_UTK_30_0_2_20170116174750148.jpg.chip,UTKFace,UTKFace/30_0_2_20170116174750148.jpg.chip.jpg,EastAsian,Male,,test
UT_UTK_30_0_2_20170116163100468.jpg.chip,UTKFace,UTKFace/30_0_2_20170116163100468.jpg.chip.jpg,EastAsian,Male,,test
UT_UTK_3_0_2_20161219160259510.jpg.chip,UTKFace,UTKFace/3_0_2_20161219160259510.jpg.chip.jpg,EastAsian,Male,,test
FA_FF_33707,FairFace,FairFace/train/33707.jpg,SoutheastAsian,Female,30-39,test
FA_FF_62914,FairFace,FairFace/train/62914.jpg,SoutheastAsian,Male,3-9,test
FA_FF_11981,FairFace,FairFace/train/11981.jpg,SoutheastAsian,Male,20-29,test
FA_FF_28606,FairFace,FairFace/train/28606.jpg,SoutheastAsian,Female,10-19,test
FA_FF_56617,FairFace,FairFace/train/56617.jpg,SoutheastAsian,Male,40-49,test
FA_FF_55410,FairFace,FairFace/train/55410.jpg,SoutheastAsian,Male,30-39,test
FA_FF_34678,FairFace,FairFace/train/34678.jpg,SoutheastAsian,Female,20-29,test
FA_FF_62434,FairFace,FairFace/train/62434.jpg,SoutheastAsian,Male,20-29,test
FA_FF_35266,FairFace,FairFace/train/35266.jpg,SoutheastAsian,Female,20-29,test
FA_FF_68022,FairFace,FairFace/train/68022.jpg,SoutheastAsian,Female,20-29,test
FA_FF_19399,FairFace,FairFace/train/19399.jpg,SoutheastAsian,Male,40-49,test
FA_FF_9588,FairFace,FairFace/train/9588.jpg,SoutheastAsian,Female,60-69,test
FA_FF_84040,FairFace,FairFace/train/84040.jpg,SoutheastAsian,Male,20-29,test
FA_FF_23738,FairFace,FairFace/train/23738.jpg,SoutheastAsian,Female,3-9,test
FA_FF_16371,FairFace,FairFace/train/16371.jpg,SoutheastAsian,Female,0-2,test
FA_FF_2595,FairFace,FairFace/train/2595.jpg,SoutheastAsian,Female,40-49,test
FA_FF_20175,FairFace,FairFace/train/20175.jpg,SoutheastAsian,Male,3-9,test
UT_UTK_8_1_3_20161220220642802.jpg.chip,UTKFace,UTKFace/8_1_3_20161220220642802.jpg.chip.jpg,SouthAsian,Female,,test
FA_FF_29345,FairFace,FairFace/train/29345.jpg,SouthAsian,Female,10-19,test
FA_FF_11925,FairFace,FairFace/train/11925.jpg,SouthAsian,Female,40-49,test
FA_FF_34692,FairFace,FairFace/train/34692.jpg,SouthAsian,Male,10-19,test
UT_UTK_1_1_3_20161220220214417.jpg.chip,UTKFace,UTKFace/1_1_3_20161220220214417.jpg.chip.jpg,SouthAsian,Female,,test
UT_UTK_16_0_3_20170110232150874.jpg.chip,UTKFace,UTKFace/16_0_3_20170110232150874.jpg.chip.jpg,SouthAsian,Male,,test
FA_FF_20887,FairFace,FairFace/train/20887.jpg,SouthAsian,Female,30-39,test
UT_UTK_17_1_3_20170119153627673.jpg.chip,UTKFace,UTKFace/17_1_3_20170119153627673.jpg.chip.jpg,SouthAsian,Female,,test
FA_FF_18960,FairFace,FairFace/train/18960.jpg,SouthAsian,Male,20-29,test
FA_FF_40506,FairFace,FairFace/train/40506.jpg,SouthAsian,Male,40-49,test
UT_UTK_40_0_3_20170119204129150.jpg.chip,UTKFace,UTKFace/40_0_3_20170119204129150.jpg.chip.jpg,SouthAsian,Male,,test
FA_FF_38163,FairFace,FairFace/train/38163.jpg,SouthAsian,Male,40-49,test
UT_UTK_37_0_3_20170119202301349.jpg.chip,UTKFace,UTKFace/37_0_3_20170119202301349.jpg.chip.jpg,SouthAsian,Male,,test
FA_FF_64089,FairFace,FairFace/train/64089.jpg,SouthAsian,Female,50-59,test
FA_FF_53084,FairFace,FairFace/train/53084.jpg,SouthAsian,Female,10-19,test
UT_UTK_31_0_3_20170119200050628.jpg.chip,UTKFace,UTKFace/31_0_3_20170119200050628.jpg.chip.jpg,SouthAsian,Male,,test
FA_FF_5412,FairFace,FairFace/train/5412.jpg,SouthAsian,Male,30-39,test
UT_UTK_65_0_3_20170119205841400.jpg.chip,UTKFace,UTKFace/65_0_3_20170119205841400.jpg.chip.jpg,SouthAsian,Male,,test
FA_FF_15776,FairFace,FairFace/train/15776.jpg,SouthAsian,Female,40-49,test
FA_FF_71625,FairFace,FairFace/train/71625.jpg,SouthAsian,Male,40-49,test
FA_FF_64267,FairFace,FairFace/train/64267.jpg,Latino,Female,3-9,test
FA_FF_15590,FairFace,FairFace/train/15590.jpg,Latino,Male,50-59,test
FA_FF_23180,FairFace,FairFace/train/23180.jpg,Latino,Male,20-29,test
FA_FF_411,FairFace,FairFace/train/411.jpg,Latino,Female,20-29,test
FA_FF_84433,FairFace,FairFace/train/84433.jpg,Latino,Male,30-39,test
FA_FF_24878,FairFace,FairFace/train/24878.jpg,Latino,Male,10-19,test
FA_FF_75384,FairFace,FairFace/train/75384.jpg,Latino,Female,30-39,test
FA_FF_56657,FairFace,FairFace/train/56657.jpg,Latino,Female,20-29,test
FA_FF_60047,FairFace,FairFace/train/60047.jpg,Latino,Male,10-19,test
FA_FF_76091,FairFace,FairFace/train/76091.jpg,Latino,Male,3-9,test
FA_FF_80194,FairFace,FairFace/train/80194.jpg,Latino,Female,20-29,test
FA_FF_35275,FairFace,FairFace/train/35275.jpg,Latino,Female,50-59,test
FA_FF_27214,FairFace,FairFace/train/27214.jpg,Latino,Female,30-39,test
FA_FF_17963,FairFace,FairFace/train/17963.jpg,Latino,Male,40-49,test
FA_FF_40968,FairFace,FairFace/train/40968.jpg,Latino,Female,20-29,test
FA_FF_6431,FairFace,FairFace/train/6431.jpg,Latino,Male,20-29,test
UT_UTK_39_0_1_20170113141736403.jpg.chip,UTKFace,UTKFace/39_0_1_20170113141736403.jpg.chip.jpg,Black,Male,,test
UT_UTK_26_1_1_20170116231831266.jpg.chip,UTKFace,UTKFace/26_1_1_20170116231831266.jpg.chip.jpg,Black,Female,,test
FA_FF_36434,FairFace,FairFace/train/36434.jpg,Black,Male,40-49,test
FA_FF_31290,FairFace,FairFace/train/31290.jpg,Black,Male,3-9,test
UT_UTK_30_0_1_20170117202825454.jpg.chip,UTKFace,UTKFace/30_0_1_20170117202825454.jpg.chip.jpg,Black,Male,,test
UT_UTK_37_1_1_20170116222809020.jpg.chip,UTKFace,UTKFace/37_1_1_20170116222809020.jpg.chip.jpg,Black,Female,,test
UT_UTK_31_1_1_20170116222821659.jpg.chip,UTKFace,UTKFace/31_1_1_20170116222821659.jpg.chip.jpg,Black,Female,,test
UT_UTK_22_1_1_20170105183837056.jpg.chip,UTKFace,UTKFace/22_1_1_20170105183837056.jpg.chip.jpg,Black,Female,,test
FA_FF_70334,FairFace,FairFace/train/70334.jpg,Black,Female,40-49,test
FA_FF_84937,FairFace,FairFace/train/84937.jpg,Black,Female,10-19,test
UT_UTK_24_0_1_20170113151024815.jpg.chip,UTKFace,UTKFace/24_0_1_20170113151024815.jpg.chip.jpg,Black,Male,,test
FA_FF_20121,FairFace,FairFace/train/20121.jpg,Black,Male,40-49,test
UT_UTK_25_0_1_20170117012445920.jpg.chip,UTKFace,UTKFace/25_0_1_20170117012445920.jpg.chip.jpg,Black,Male,,test
FA_FF_45062,FairFace,FairFace/train/45062.jpg,Black,Female,30-39,test
FA_FF_5506,FairFace,FairFace/train/5506.jpg,Black,Female,3-9,test
UT_UTK_62_0_1_20170113185008129.jpg.chip,UTKFace,UTKFace/62_0_1_20170113185008129.jpg.chip.jpg,Black,Male,,test
UT_UTK_15_1_1_20170112191208424.jpg.chip,UTKFace,UTKFace/15_1_1_20170112191208424.jpg.chip.jpg,Black,Female,,test
UT_UTK_60_1_1_20170113011739319.jpg.chip,UTKFace,UTKFace/60_1_1_20170113011739319.jpg.chip.jpg,Black,Female,,test
UT_UTK_10_1_1_20170117134313205.jpg.chip,UTKFace,UTKFace/10_1_1_20170117134313205.jpg.chip.jpg,Black,Female,,test
FA_FF_57433,FairFace,FairFace/train/57433.jpg,Black,Female,20-29,test
